Binomial_ID,Language,A_en,B_en,A_de,B_de,A_B_count,B_A_count,Order_preference,Preferred_conjunction,p_corpus,evidence_tier
59,de,thunder,lightning,Donner,Blitz,1419,6095,Blitz und Donner,und,0.1889,medium
60,de,domestic,foreign,inländisch,ausländisch,2496,477,inländisch und ausländisch,und,0.8394,weak
61,de,near,far,nah,fern,33121,1531,nah und fern,und,0.9558,strong
62,de,flesh,blood,Fleisch,Blut,21519,533,Fleisch und Blut,und,0.9758,medium
63,de,sea,sky,Meer,Himmel,537,1013,Himmel und Meer,und,0.3466,weak
64,de,cheap,expensive,billig,teuer,969,922,billig oder teuer,oder,0.5124,weak
65,de,oil,gas,Öl,Gas,18207,5417,Öl und Gas,und,0.7707,medium
66,de,teach,learn,lehren,lernen,22553,8195,lehren und lernen,und,0.7335,strong
67,de,rise,fall,steigen,fallen,4945,866,steigen oder fallen,oder,0.8509,weak
68,de,cause,effect,Ursache,Wirkung,17770,227,Ursache und Wirkung,und,0.9874,medium
69,de,laugh,cry,lachen,weinen,7942,1960,lachen und weinen,und,0.802,medium
70,de,heaven,earth,Himmel,Erde,26321,1782,Himmel und Erde,und,0.9366,medium
71,de,right,wrong,richtig,falsch,27847,3036,richtig oder falsch,oder,0.9017,strong
72,de,long,short,lang,kurz,12314,52330,kurz oder lang,oder,0.1905,strong
73,de,permitted,forbidden,erlaubt,verboten,1531,327,erlaubt oder verboten,oder,0.8238,weak
74,de,come,go,kommen,gehen,31188,1896,kommen und gehen,und,0.9427,strong
75,de,sweet,bitter,süß,bitter,757,407,süß und bitter,und,0.6502,weak
