Binomial_ID,Language,A_en,B_en,A_id,B_id,A_B_count,B_A_count,Order_preference,Preferred_conjunction,p_corpus,evidence_tier
66,id,teach,learn,mengajar,belajar,1150,140759,belajar mengajar,,0.0081,strong
67,id,rise,fall,bangun,jatuh,56,10781,jatuh bangun,,0.0052,medium
68,id,cause,effect,sebab,akibat,16208,322,sebab akibat,,0.9805,medium
69,id,laugh,cry,tertawa,menangis,1054,857,tertawa dan menangis,dan,0.5515,weak
70,id,heaven,earth,langit,bumi,27636,4866,langit dan bumi,dan,0.8503,strong
71,id,right,wrong,benar,salah,17844,3390,benar atau salah,atau,0.8403,strong
72,id,long,short,panjang,pendek,5483,3625,panjang dan pendek,dan,0.602,medium
73,id,permitted,forbidden,halal,haram,8038,830,halal dan haram,dan,0.9064,medium
74,id,come,go,datang,pergi,10611,373,datang dan pergi,dan,0.966,medium
75,id,sweet,bitter,manis,pahit,1369,1718,pahit manis,,0.4435,weak
